Departure Airport,Departure Time,Arrival Airport,Arrival Time,Carrier Code,Flight Number,Price (VND),Duration
SGN,2024-09-15 05:25:00,HAN,2024-09-15 07:35:00,VJ,198,1541000.0,PT2H10M
SGN,2024-09-15 06:00:00,HAN,2024-09-15 08:10:00,VJ,120,1541000.0,PT2H10M
SGN,2024-09-15 06:40:00,HAN,2024-09-15 08:50:00,VJ,168,1541000.0,PT2H10M
SGN,2024-09-15 07:00:00,HAN,2024-09-15 09:10:00,VJ,122,1541000.0,PT2H10M
SGN,2024-09-15 08:10:00,HAN,2024-09-15 10:20:00,VJ,124,1541000.0,PT2H10M
SGN,2024-09-15 08:45:00,HAN,2024-09-15 10:55:00,VJ,126,1541000.0,PT2H10M
SGN,2024-09-15 10:10:00,HAN,2024-09-15 12:20:00,VJ,130,1541000.0,PT2H10M
SGN,2024-09-15 11:00:00,HAN,2024-09-15 13:10:00,VJ,132,1541000.0,PT2H10M
SGN,2024-09-15 11:25:00,HAN,2024-09-15 13:35:00,VJ,170,1541000.0,PT2H10M
SGN,2024-09-15 12:00:00,HAN,2024-09-15 14:10:00,VJ,172,1541000.0,PT2H10M
SGN,2024-09-15 12:30:00,HAN,2024-09-15 14:40:00,VJ,134,1541000.0,PT2H10M
SGN,2024-09-15 13:20:00,HAN,2024-09-15 15:30:00,VJ,136,1541000.0,PT2H10M
SGN,2024-09-15 13:50:00,HAN,2024-09-15 16:00:00,VJ,138,1541000.0,PT2H10M
SGN,2024-09-15 14:40:00,HAN,2024-09-15 16:50:00,VJ,140,1541000.0,PT2H10M
SGN,2024-09-15 15:30:00,HAN,2024-09-15 17:40:00,VJ,142,1541000.0,PT2H10M
SGN,2024-09-15 16:30:00,HAN,2024-09-15 18:40:00,VJ,144,1541000.0,PT2H10M
SGN,2024-09-15 16:45:00,HAN,2024-09-15 18:55:00,VJ,148,1541000.0,PT2H10M
SGN,2024-09-15 17:40:00,HAN,2024-09-15 19:50:00,VJ,150,1541000.0,PT2H10M
SGN,2024-09-15 18:15:00,HAN,2024-09-15 20:25:00,VJ,152,1541000.0,PT2H10M
SGN,2024-09-15 19:40:00,HAN,2024-09-15 21:50:00,VJ,156,1541000.0,PT2H10M
SGN,2024-09-15 20:15:00,HAN,2024-09-15 22:25:00,VJ,166,1541000.0,PT2H10M
SGN,2024-09-15 20:40:00,HAN,2024-09-15 22:50:00,VJ,158,1541000.0,PT2H10M
SGN,2024-09-15 21:55:00,HAN,2024-09-16 00:05:00,VJ,160,1541000.0,PT2H10M
SGN,2024-09-15 22:45:00,HAN,2024-09-16 00:55:00,VJ,162,1541000.0,PT2H10M
SGN,2024-09-15 23:00:00,HAN,2024-09-16 01:10:00,VJ,164,1541000.0,PT2H10M
SGN,2024-09-15 05:25:00,HAN,2024-09-15 07:35:00,W2,4198,2028000.0,PT2H10M
SGN,2024-09-15 06:00:00,HAN,2024-09-15 08:10:00,W2,4120,2028000.0,PT2H10M
SGN,2024-09-15 08:10:00,HAN,2024-09-15 10:20:00,W2,4124,2028000.0,PT2H10M
SGN,2024-09-15 08:45:00,HAN,2024-09-15 10:55:00,W2,4126,2028000.0,PT2H10M
SGN,2024-09-15 11:00:00,HAN,2024-09-15 13:10:00,W2,4132,2028000.0,PT2H10M
SGN,2024-09-15 12:30:00,HAN,2024-09-15 14:40:00,W2,4134,2028000.0,PT2H10M
SGN,2024-09-15 13:50:00,HAN,2024-09-15 16:00:00,W2,4138,2028000.0,PT2H10M
SGN,2024-09-15 14:40:00,HAN,2024-09-15 16:50:00,W2,4140,2028000.0,PT2H10M
SGN,2024-09-15 15:30:00,HAN,2024-09-15 17:40:00,W2,4142,2028000.0,PT2H10M
SGN,2024-09-15 16:45:00,HAN,2024-09-15 18:55:00,W2,4148,2028000.0,PT2H10M
SGN,2024-09-15 17:40:00,HAN,2024-09-15 19:50:00,W2,4150,2028000.0,PT2H10M
SGN,2024-09-15 18:15:00,HAN,2024-09-15 20:25:00,W2,4152,2028000.0,PT2H10M
SGN,2024-09-15 20:15:00,HAN,2024-09-15 22:25:00,W2,4166,2028000.0,PT2H10M
SGN,2024-09-15 20:40:00,HAN,2024-09-15 22:50:00,W2,4158,2028000.0,PT2H10M
SGN,2024-09-15 21:55:00,HAN,2024-09-16 00:05:00,W2,4160,2028000.0,PT2H10M
SGN,2024-09-15 22:45:00,HAN,2024-09-16 00:55:00,W2,4162,2028000.0,PT2H10M
SGN,2024-09-15 05:50:00,HAN,2024-09-15 08:00:00,QH,202,2086000.0,PT2H10M
SGN,2024-09-15 07:50:00,HAN,2024-09-15 10:00:00,QH,204,2086000.0,PT2H10M
SGN,2024-09-15 10:40:00,HAN,2024-09-15 12:50:00,QH,224,2086000.0,PT2H10M
SGN,2024-09-15 13:30:00,HAN,2024-09-15 15:40:00,QH,242,2086000.0,PT2H10M
SGN,2024-09-15 18:35:00,HAN,2024-09-15 20:45:00,QH,252,2086000.0,PT2H10M
SGN,2024-09-15 19:30:00,HAN,2024-09-15 21:40:00,QH,262,2086000.0,PT2H10M
SGN,2024-09-15 20:40:00,HAN,2024-09-15 22:50:00,QH,278,2086000.0,PT2H10M
SGN,2024-09-15 21:40:00,HAN,2024-09-15 23:50:00,QH,286,2086000.0,PT2H10M
SGN,2024-09-15 22:05:00,HAN,2024-09-16 00:15:00,QH,290,2086000.0,PT2H10M
SGN,2024-09-15 11:10:00,HUI,2024-09-15 12:35:00,VJ,304,2318000.0,PT1H25M
HUI,2024-09-15 13:30:00,HAN,2024-09-15 14:45:00,VJ,566,2318000.0,PT1H15M
SGN,2024-09-15 18:00:00,DAD,2024-09-15 19:20:00,VJ,638,2318000.0,PT1H20M
DAD,2024-09-15 21:25:00,HAN,2024-09-15 22:45:00,VJ,510,2318000.0,PT1H20M
SGN,2024-09-15 19:45:00,DAD,2024-09-15 21:05:00,VJ,636,2318000.0,PT1H20M
DAD,2024-09-15 23:25:00,HAN,2024-09-16 00:45:00,VJ,532,2318000.0,PT1H20M
SGN,2024-09-15 07:00:00,DAD,2024-09-15 08:20:00,VJ,622,2318000.0,PT1H20M
DAD,2024-09-15 10:55:00,HAN,2024-09-15 12:15:00,VJ,508,2318000.0,PT1H20M
SGN,2024-09-15 16:15:00,DAD,2024-09-15 17:35:00,VJ,634,2318000.0,PT1H20M
DAD,2024-09-15 20:40:00,HAN,2024-09-15 22:00:00,VJ,524,2318000.0,PT1H20M
SGN,2024-09-15 15:40:00,DAD,2024-09-15 17:00:00,VJ,632,2318000.0,PT1H20M
DAD,2024-09-15 23:00:00,HAN,2024-09-16 00:20:00,VJ,528,2318000.0,PT1H20M
SGN,2024-09-15 05:35:00,DAD,2024-09-15 06:55:00,VJ,620,2318000.0,PT1H20M
SGN,2024-09-15 10:40:00,UIH,2024-09-15 11:50:00,VJ,382,2425000.0,PT1H10M
SGN,2024-09-15 17:00:00,BMV,2024-09-15 18:00:00,VJ,358,2640000.0,PT1H
BMV,2024-09-15 18:35:00,HAN,2024-09-15 20:20:00,VJ,494,2640000.0,PT1H45M
