Departure Airport,Departure Time,Arrival Airport,Arrival Time,Carrier Code,Flight Number,Price (VND),Duration
SGN,2024-10-04 22:20:00,HAN,2024-10-05 00:10:00,VJ,176,1538000.00,PT1H50M
SGN,2024-10-04 05:00:00,HAN,2024-10-04 07:10:00,VJ,182,1538000.00,PT2H10M
SGN,2024-10-04 05:25:00,HAN,2024-10-04 07:35:00,VJ,198,1538000.00,PT2H10M
SGN,2024-10-04 06:00:00,HAN,2024-10-04 08:10:00,VJ,120,1538000.00,PT2H10M
SGN,2024-10-04 06:40:00,HAN,2024-10-04 08:50:00,VJ,168,1538000.00,PT2H10M
SGN,2024-10-04 07:00:00,HAN,2024-10-04 09:10:00,VJ,122,1538000.00,PT2H10M
SGN,2024-10-04 08:40:00,HAN,2024-10-04 10:50:00,VJ,126,1538000.00,PT2H10M
SGN,2024-10-04 09:15:00,HAN,2024-10-04 11:25:00,VJ,1142,1538000.00,PT2H10M
SGN,2024-10-04 09:45:00,HAN,2024-10-04 11:55:00,VJ,128,1538000.00,PT2H10M
SGN,2024-10-04 10:10:00,HAN,2024-10-04 12:20:00,VJ,130,1538000.00,PT2H10M
SGN,2024-10-04 11:00:00,HAN,2024-10-04 13:10:00,VJ,1132,1538000.00,PT2H10M
SGN,2024-10-04 12:10:00,HAN,2024-10-04 14:20:00,VJ,172,1538000.00,PT2H10M
SGN,2024-10-04 12:30:00,HAN,2024-10-04 14:40:00,VJ,134,1538000.00,PT2H10M
SGN,2024-10-04 13:00:00,HAN,2024-10-04 15:10:00,VJ,174,1538000.00,PT2H10M
SGN,2024-10-04 13:20:00,HAN,2024-10-04 15:30:00,VJ,136,1538000.00,PT2H10M
SGN,2024-10-04 14:40:00,HAN,2024-10-04 16:50:00,VJ,1140,1538000.00,PT2H10M
SGN,2024-10-04 15:30:00,HAN,2024-10-04 17:40:00,VJ,142,1538000.00,PT2H10M
SGN,2024-10-04 15:35:00,HAN,2024-10-04 17:45:00,VJ,148,1538000.00,PT2H10M
SGN,2024-10-04 16:30:00,HAN,2024-10-04 18:40:00,VJ,144,1538000.00,PT2H10M
SGN,2024-10-04 16:50:00,HAN,2024-10-04 19:00:00,VJ,1150,1538000.00,PT2H10M
SGN,2024-10-04 18:15:00,HAN,2024-10-04 20:25:00,VJ,154,1538000.00,PT2H10M
SGN,2024-10-04 19:40:00,HAN,2024-10-04 21:50:00,VJ,156,1538000.00,PT2H10M
SGN,2024-10-04 20:15:00,HAN,2024-10-04 22:25:00,VJ,166,1538000.00,PT2H10M
SGN,2024-10-04 20:25:00,HAN,2024-10-04 22:35:00,VJ,160,1538000.00,PT2H10M
SGN,2024-10-04 22:15:00,HAN,2024-10-05 00:25:00,VJ,184,1538000.00,PT2H10M
SGN,2024-10-04 22:50:00,HAN,2024-10-05 01:00:00,VJ,1164,1538000.00,PT2H10M
SGN,2024-10-04 20:15:00,HAN,2024-10-04 22:25:00,H1,4234,1949000.00,PT2H10M
SGN,2024-10-04 20:25:00,HAN,2024-10-04 22:35:00,H1,4268,1949000.00,PT2H10M
SGN,2024-10-04 21:15:00,HAN,2024-10-04 23:25:00,H1,4010,1949000.00,PT2H10M
SGN,2024-10-04 22:15:00,HAN,2024-10-05 00:25:00,H1,4057,1949000.00,PT2H10M
SGN,2024-10-04 22:50:00,HAN,2024-10-05 01:00:00,H1,5146,1949000.00,PT2H10M
SGN,2024-10-04 05:00:00,HAN,2024-10-04 07:10:00,W2,4182,2023000.00,PT2H10M
SGN,2024-10-04 05:25:00,HAN,2024-10-04 07:35:00,W2,4198,2023000.00,PT2H10M
SGN,2024-10-04 06:00:00,HAN,2024-10-04 08:10:00,W2,4120,2023000.00,PT2H10M
SGN,2024-10-04 06:40:00,HAN,2024-10-04 08:50:00,W2,4168,2023000.00,PT2H10M
SGN,2024-10-04 07:00:00,HAN,2024-10-04 09:10:00,W2,4122,2023000.00,PT2H10M
SGN,2024-10-04 08:40:00,HAN,2024-10-04 10:50:00,W2,4126,2023000.00,PT2H10M
SGN,2024-10-04 09:45:00,HAN,2024-10-04 11:55:00,W2,4128,2023000.00,PT2H10M
SGN,2024-10-04 10:10:00,HAN,2024-10-04 12:20:00,W2,4130,2023000.00,PT2H10M
SGN,2024-10-04 12:10:00,HAN,2024-10-04 14:20:00,W2,4172,2023000.00,PT2H10M
SGN,2024-10-04 12:30:00,HAN,2024-10-04 14:40:00,W2,4134,2023000.00,PT2H10M
SGN,2024-10-04 13:00:00,HAN,2024-10-04 15:10:00,W2,4174,2023000.00,PT2H10M
SGN,2024-10-04 13:20:00,HAN,2024-10-04 15:30:00,W2,4136,2023000.00,PT2H10M
SGN,2024-10-04 15:30:00,HAN,2024-10-04 17:40:00,W2,4142,2023000.00,PT2H10M
SGN,2024-10-04 15:35:00,HAN,2024-10-04 17:45:00,W2,4148,2023000.00,PT2H10M
SGN,2024-10-04 16:30:00,HAN,2024-10-04 18:40:00,W2,4144,2023000.00,PT2H10M
SGN,2024-10-04 18:15:00,HAN,2024-10-04 20:25:00,W2,4154,2023000.00,PT2H10M
SGN,2024-10-04 19:40:00,HAN,2024-10-04 21:50:00,W2,4156,2023000.00,PT2H10M
SGN,2024-10-04 20:15:00,HAN,2024-10-04 22:25:00,W2,4166,2023000.00,PT2H10M
SGN,2024-10-04 20:25:00,HAN,2024-10-04 22:35:00,W2,4160,2023000.00,PT2H10M
SGN,2024-10-04 21:15:00,HAN,2024-10-04 23:25:00,W2,4176,2023000.00,PT2H10M
SGN,2024-10-04 22:15:00,HAN,2024-10-05 00:25:00,W2,4184,2023000.00,PT2H10M
SGN,2024-10-04 07:45:00,HAN,2024-10-04 09:55:00,QH,204,2082000.00,PT2H10M
SGN,2024-10-04 13:35:00,HAN,2024-10-04 15:45:00,QH,242,2082000.00,PT2H10M
SGN,2024-10-04 15:15:00,HAN,2024-10-04 17:25:00,QH,244,2082000.00,PT2H10M
SGN,2024-10-04 23:15:00,HAN,2024-10-05 01:25:00,QH,286,2082000.00,PT2H10M
SGN,2024-10-04 11:10:00,HUI,2024-10-04 12:35:00,VJ,304,2313000.00,PT1H25M
HUI,2024-10-04 13:30:00,HAN,2024-10-04 14:45:00,VJ,566,2313000.00,PT1H15M
SGN,2024-10-04 15:40:00,HUI,2024-10-04 17:05:00,VJ,306,2313000.00,PT1H25M
HUI,2024-10-04 19:20:00,HAN,2024-10-04 20:35:00,VJ,562,2313000.00,PT1H15M
SGN,2024-10-04 07:45:00,HUI,2024-10-04 09:10:00,VJ,302,2313000.00,PT1H25M
SGN,2024-10-04 18:35:00,DAD,2024-10-04 19:55:00,VJ,636,2313000.00,PT1H20M
DAD,2024-10-04 22:00:00,HAN,2024-10-04 23:20:00,VJ,528,2313000.00,PT1H20M
SGN,2024-10-04 19:05:00,DAD,2024-10-04 20:25:00,VJ,642,2313000.00,PT1H20M
DAD,2024-10-04 22:35:00,HAN,2024-10-04 23:55:00,VJ,532,2313000.00,PT1H20M
SGN,2024-10-04 15:45:00,DAD,2024-10-04 17:05:00,VJ,634,2313000.00,PT1H20M
DAD,2024-10-04 19:20:00,HAN,2024-10-04 20:40:00,VJ,524,2313000.00,PT1H20M
DAD,2024-10-04 22:45:00,HAN,2024-10-05 00:01:00,VJ,534,2313000.00,PT1H16M
SGN,2024-10-04 18:00:00,DAD,2024-10-04 19:20:00,VJ,638,2313000.00,PT1H20M
SGN,2024-10-04 14:30:00,DAD,2024-10-04 15:50:00,VJ,1638,2313000.00,PT1H20M
SGN,2024-10-04 07:05:00,DAD,2024-10-04 08:25:00,VJ,1622,2313000.00,PT1H20M
DAD,2024-10-04 12:05:00,HAN,2024-10-04 13:25:00,VJ,512,2313000.00,PT1H20M
DAD,2024-10-04 20:40:00,HAN,2024-10-04 22:05:00,VJ,510,2313000.00,PT1H25M
DAD,2024-10-04 13:10:00,HAN,2024-10-04 14:25:00,VJ,516,2313000.00,PT1H15M
SGN,2024-10-04 10:40:00,UIH,2024-10-04 11:50:00,VJ,382,2420000.00,PT1H10M
UIH,2024-10-04 15:45:00,HAN,2024-10-04 17:20:00,VJ,432,2420000.00,PT1H35M
SGN,2024-10-04 09:15:00,HAN,2024-10-04 11:25:00,A1,4142,2446000.00,PT2H10M
SGN,2024-10-04 11:00:00,HAN,2024-10-04 13:10:00,A1,4168,2446000.00,PT2H10M
SGN,2024-10-04 13:20:00,HAN,2024-10-04 15:30:00,A1,4190,2446000.00,PT2H10M
SGN,2024-10-04 14:40:00,HAN,2024-10-04 16:50:00,A1,4140,2446000.00,PT2H10M
SGN,2024-10-04 16:50:00,HAN,2024-10-04 19:00:00,A1,4150,2446000.00,PT2H10M
SGN,2024-10-04 22:50:00,HAN,2024-10-05 01:00:00,A1,4164,2446000.00,PT2H10M
SGN,2024-10-04 05:20:00,BMV,2024-10-04 06:20:00,VJ,356,2634000.00,PT1H
BMV,2024-10-04 08:25:00,HAN,2024-10-04 10:10:00,VJ,492,2634000.00,PT1H45M
SGN,2024-10-04 17:25:00,DLI,2024-10-04 18:20:00,VJ,362,2634000.00,PT55M
DLI,2024-10-04 20:55:00,HAN,2024-10-04 22:40:00,VJ,410,2634000.00,PT1H45M
SGN,2024-10-04 13:20:00,PQC,2024-10-04 14:20:00,VJ,331,2634000.00,PT1H
PQC,2024-10-04 16:50:00,HAN,2024-10-04 18:55:00,VJ,458,2634000.00,PT2H5M
SGN,2024-10-04 12:35:00,PQC,2024-10-04 13:35:00,VJ,327,2634000.00,PT1H
SGN,2024-10-04 13:40:00,CXR,2024-10-04 14:50:00,VJ,604,2634000.00,PT1H10M
CXR,2024-10-04 18:35:00,HAN,2024-10-04 20:25:00,VJ,788,2634000.00,PT1H50M
SGN,2024-10-04 09:30:00,DIN,2024-10-04 11:30:00,VJ,298,2634000.00,PT2H
DIN,2024-10-04 16:20:00,HAN,2024-10-04 17:00:00,VJ,598,2634000.00,PT40M
SGN,2024-10-04 14:00:00,DAD,2024-10-04 15:25:00,QH,162,2867000.00,PT1H25M
DAD,2024-10-04 18:25:00,HAN,2024-10-04 19:45:00,QH,116,2867000.00,PT1H20M
DAD,2024-10-04 20:05:00,HAN,2024-10-04 21:25:00,QH,126,2867000.00,PT1H20M
SGN,2024-10-04 21:10:00,DAD,2024-10-04 22:35:00,QH,170,2867000.00,PT1H25M
DAD,2024-10-05 08:00:00,HAN,2024-10-05 09:25:00,QH,102,2867000.00,PT1H25M
DAD,2024-10-05 12:00:00,HAN,2024-10-05 13:25:00,QH,104,2867000.00,PT1H25M
SGN,2024-10-04 09:35:00,CXR,2024-10-04 10:45:00,QH,1312,3135000.00,PT1H10M
CXR,2024-10-04 15:40:00,HAN,2024-10-04 17:35:00,QH,1416,3135000.00,PT1H55M
